exponent,min_runtime_old,min_runtime_new
0,2.900014806073159e-07,3.0999945010989904e-07
1,5.600013537332416e-07,6.299997039604932e-07
2,9.499999578110874e-07,9.799987310543656e-07
3,1.1699994502123445e-06,1.3699973351322114e-06
4,1.4600009308196604e-06,1.2700002116616815e-06
5,1.6900012269616127e-06,1.6699996194802225e-06
6,2.0500010577961802e-06,1.6999983927235007e-06
7,2.130000211764127e-06,2.1000014385208488e-06
8,2.410000888630748e-06,1.619999238755554e-06
9,2.110002242261544e-06,2.1799969545099884e-06
10,2.7899986889678985e-06,2.1900013962294906e-06
11,2.610002411529422e-06,2.5700028345454484e-06
12,2.9700022423639894e-06,2.230000973213464e-06
13,2.6900015654973686e-06,2.7800015232060105e-06
14,3.2799980544950813e-06,2.630000381032005e-06
15,2.9889997676946223e-06,2.9800030461046845e-06
16,3.560002369340509e-06,2.2800013539381325e-06
17,2.6699999580159783e-06,2.7999994927085936e-06
18,3.149998519802466e-06,2.73999830824323e-06
19,3.139997716061771e-06,3.150002157781273e-06
20,3.7299978430382907e-06,2.73999830824323e-06
21,4.249999619787559e-06,4.189998435322195e-06
22,5.85000088904053e-06,3.529999958118424e-06
23,2.959997800644487e-06,3.0900009733159095e-06
24,3.23000131174922e-06,2.1999985619913787e-06
25,2.519998815841973e-06,3.2099997042678297e-06
26,3.550001565599814e-06,2.9799994081258774e-06
27,3.5999983083456755e-06,3.2799980544950813e-06
28,3.8100006349850446e-06,3.249999281251803e-06
29,2.9600014386232942e-06,2.949996996903792e-06
30,3.749999450519681e-06,3.050001396331936e-06
31,3.229997673770413e-06,3.5999983083456755e-06
32,3.670000296551734e-06,2.420001692371443e-06
33,2.8700014809146523e-06,2.930002665380016e-06
34,3.360000846441835e-06,2.9900002118665725e-06
35,3.1199997465591878e-06,3.440000000409782e-06
36,3.6800011002924293e-06,2.950000634882599e-06
37,3.32999843521975e-06,3.1800009310245514e-06
38,3.529999958118424e-06,3.150002157781273e-06
39,3.549997927621007e-06,3.6000019463244826e-06
40,3.850000211969018e-06,2.6400011847727e-06
41,3.1800009310245514e-06,3.049000952159986e-06
42,3.2999996619764715e-06,3.059998562093824e-06
43,3.3000032999552786e-06,3.4090007829945534e-06
44,3.740002284757793e-06,3.0709998100064695e-06
45,3.459997969912365e-06,3.3709984563756734e-06
46,3.7489990063477308e-06,3.6199999158270657e-06
47,3.920002200175077e-06,3.819997800746933e-06
48,4.208999598631635e-06,2.911001502070576e-06
49,3.339999238960445e-06,3.1909985409583896e-06
50,3.7099998735357076e-06,3.2099997042678297e-06
51,3.650002327049151e-06,3.649998689070344e-06
52,4.010002157883719e-06,3.1799972930457443e-06
53,3.6999990697950125e-06,3.5099983506370336e-06
54,4.08000050811097e-06,3.8100006349850446e-06
55,4.370001988718286e-06,4.300000000512227e-06
56,4.569999873638153e-06,3.2999996619764715e-06
57,3.6999990697950125e-06,3.670000296551734e-06
58,3.989996912423521e-06,3.7299978430382907e-06
59,3.979999746661633e-06,3.989996912423521e-06
60,4.379999154480174e-06,3.6999990697950125e-06
61,4.2100000428035855e-06,4.130000888835639e-06
62,4.659999831346795e-06,4.220000846544281e-06
63,4.1099992813542485e-06,4.590001481119543e-06
64,4.980000085197389e-06,3.0000010156072676e-06
65,3.440000000409782e-06,3.3799988159444183e-06
66,3.7899990275036544e-06,3.229997673770413e-06
67,3.649998689070344e-06,3.869998181471601e-06
68,4.229998012306169e-06,3.4100012271665037e-06
69,3.649998689070344e-06,3.839999408228323e-06
70,4.139998054597527e-06,3.8100006349850446e-06
71,4.049998096888885e-06,4.300000000512227e-06
72,4.499997885432094e-06,3.4899967431556433e-06
73,3.7999998312443495e-06,3.6799974623136222e-06
74,4.040000931126997e-06,3.7700010580010712e-06
75,3.879998985212296e-06,4.2000028770416975e-06
76,4.400000761961564e-06,3.8099969970062375e-06
77,4.189998435322195e-06,4.239998816046864e-06
78,4.78999936603941e-06,4.429999535204843e-06
79,4.6000022848602384e-06,4.499997885432094e-06
80,5.080000846646726e-06,3.4900003811344504e-06
81,3.860001015709713e-06,3.7800018617417663e-06
82,4.249999619787559e-06,3.670000296551734e-06
83,4.220000846544281e-06,3.950000973418355e-06
84,4.62999742012471e-06,3.649998689070344e-06
85,4.1099992813542485e-06,4.260000423528254e-06
86,4.499997885432094e-06,4.190002073301002e-06
87,4.580000677378848e-06,4.599998646881431e-06
88,4.879999323748052e-06,3.731001925189048e-06
89,4.049001290695742e-06,4.060002538608387e-06
90,4.670997441280633e-06,4.120000085094944e-06
91,4.6290006139315665e-06,4.639998223865405e-06
92,4.870998964179307e-06,4.248999175615609e-06
93,4.580000677378848e-06,4.4289990910328925e-06
94,5.068999598734081e-06,4.369001544546336e-06
95,4.990997695131227e-06,4.960002115694806e-06
96,5.49999822396785e-06,3.4289987524971366e-06
97,3.84000304620713e-06,3.7709978641942143e-06
98,4.089000867679715e-06,3.91999856219627e-06
99,4.011002602055669e-06,4.300000000512227e-06
100,4.330999217927456e-06,3.8710022636223584e-06
101,4.0909981180448085e-06,4.150999302510172e-06
102,4.5000015234109014e-06,4.140001692576334e-06
103,4.540001100394875e-06,4.64899858343415e-06
104,4.980000085197389e-06,3.920002200175077e-06
105,4.171000909991562e-06,4.339999577496201e-06
106,4.628996975952759e-06,4.180001269560307e-06
107,4.4199987314641476e-06,4.679997800849378e-06
108,4.969999281456694e-06,4.08000050811097e-06
109,4.67000063508749e-06,4.729998181574047e-06
110,4.900000931229442e-06,4.620000254362822e-06
111,5.090001650387421e-06,5.000001692678779e-06
112,5.199999577598646e-06,3.7999998312443495e-06
113,4.120000085094944e-06,4.120000085094944e-06
114,4.679997800849378e-06,4.1099992813542485e-06
115,4.3199979700148106e-06,4.279998393030837e-06
116,4.709996574092656e-06,4.05999890062958e-06
117,4.53000029665418e-06,4.7100002120714635e-06
118,5.109999619890004e-06,4.770001396536827e-06
119,4.869998520007357e-06,4.879999323748052e-06
120,5.249999958323315e-06,4.239998816046864e-06
121,4.779998562298715e-06,4.749999789055437e-06
122,5.14000203111209e-06,4.680001438828185e-06
123,5.009998858440667e-06,4.969999281456694e-06
124,5.509999027708545e-06,4.8199981392826885e-06
125,4.989997250959277e-06,5.149999196873978e-06
126,5.480000254465267e-06,5.030000465922058e-06
127,5.489997420227155e-06,5.509999027708545e-06
128,5.9200028772465885e-06,3.46999877365306e-06
129,3.910998202627525e-06,3.979999746661633e-06
130,3.879998985212296e-06,3.8090001908130944e-06
131,3.951001417590305e-06,3.860001015709713e-06
132,4.730998625745997e-06,4.071000148542225e-06
133,4.150999302510172e-06,4.5199994929134846e-06
134,4.589001036947593e-06,4.368997906567529e-06
135,4.839999746764079e-06,4.699999408330768e-06
136,4.92899926030077e-06,4.03999729314819e-06
137,4.248999175615609e-06,4.351000825408846e-06
138,4.840003384742886e-06,4.54900145996362e-06
139,4.66900019091554e-06,4.828998498851433e-06
140,5.171001248527318e-06,4.300000000512227e-06
141,4.920002538710833e-06,4.899997293250635e-06
142,5.2489995141513646e-06,4.839999746764079e-06
143,5.099998816149309e-06,5.1200004236306995e-06
144,5.470999894896522e-06,3.991000994574279e-06
145,4.271001671440899e-06,4.19999923906289e-06
146,4.55100234830752e-06,4.379999154480174e-06
147,4.539997462416068e-06,4.80900052934885e-06
148,5.160000000614673e-06,4.351000825408846e-06
149,4.568999429466203e-06,4.870998964179307e-06
150,5.23999915458262e-06,4.9199989007320255e-06
151,5.139998393133283e-06,5.211000825511292e-06
152,5.210000381339341e-06,4.1099992813542485e-06
153,4.78999936603941e-06,4.580000677378848e-06
154,5.040001269662753e-06,4.860001354245469e-06
155,5.039997631683946e-06,5.180001608096063e-06
156,5.480000254465267e-06,4.770001396536827e-06
157,5.050002073403448e-06,5.26000076206401e-06
158,5.590001819655299e-06,5.249999958323315e-06
159,5.609999789157882e-06,5.539997800951824e-06
160,6.1300015659071505e-06,3.8100006349850446e-06
161,4.180001269560307e-06,4.53000029665418e-06
162,4.6099994506221265e-06,4.400000761961564e-06
163,4.739998985314742e-06,4.939996870234609e-06
164,5.030000465922058e-06,4.490000719670206e-06
165,4.6000022848602384e-06,4.9199989007320255e-06
166,5.090001650387421e-06,4.7100002120714635e-06
167,5.099998816149309e-06,5.339999916031957e-06
168,5.40000110049732e-06,4.5199994929134846e-06
169,4.800000169780105e-06,4.8100009735208005e-06
170,5.390000296756625e-06,4.760000592796132e-06
171,5.23999915458262e-06,5.310001142788678e-06
172,5.370002327254042e-06,4.740002623293549e-06
173,5.030000465922058e-06,5.230001988820732e-06
174,5.549998604692519e-06,5.269997927825898e-06
175,5.49999822396785e-06,5.680001777363941e-06
176,6.08999835094437e-06,4.490000719670206e-06
177,4.859997716266662e-06,4.569999873638153e-06
178,5.300000339047983e-06,4.680001438828185e-06
179,5.1200004236306995e-06,5.0299968279432505e-06
180,5.6300013966392726e-06,4.67000063508749e-06
181,5.249999958323315e-06,4.999998054699972e-06
182,5.460002284962684e-06,5.3299991122912616e-06
183,5.450001481221989e-06,5.770001735072583e-06
184,5.710000550607219e-06,4.870002157986164e-06
185,5.2199975471012294e-06,5.4199990699999034e-06
186,5.49999822396785e-06,5.410001904238015e-06
187,5.5199998314492404e-06,5.750000127591193e-06
188,5.99000122747384e-06,5.310001142788678e-06
189,5.590001819655299e-06,5.4299998737405986e-06
190,5.719997716369107e-06,5.3299991122912616e-06
191,6.199999916134402e-06,6.250000296859071e-06
192,6.531001417897642e-06,4.220000846544281e-06
193,4.620000254362822e-06,4.659999831346795e-06
194,4.679997800849378e-06,4.55100234830752e-06
195,4.800000169780105e-06,4.850997356697917e-06
196,5.23999915458262e-06,4.54900145996362e-06
197,5.049001629231498e-06,5.009002052247524e-06
198,5.4199990699999034e-06,5.000001692678779e-06
199,5.23999915458262e-06,5.40000110049732e-06
200,5.679998139385134e-06,4.5000015234109014e-06
201,5.070000042906031e-06,5.14000203111209e-06
202,5.539997800951824e-06,4.970002919435501e-06
203,5.409998266259208e-06,5.390000296756625e-06
204,5.85000088904053e-06,4.990000888938084e-06
205,5.4299998737405986e-06,5.440000677481294e-06
206,5.739999323850498e-06,5.5200034694280475e-06
207,5.87000249652192e-06,5.859998054802418e-06
208,6.410002242773771e-06,4.540001100394875e-06
209,5.059999239165336e-06,5.180001608096063e-06
210,5.2200011850800365e-06,4.969999281456694e-06
211,5.509999027708545e-06,5.449997843243182e-06
212,5.96999961999245e-06,5.139998393133283e-06
213,5.149999196873978e-06,5.40000110049732e-06
214,5.789999704575166e-06,5.480000254465267e-06
215,5.9399972087703645e-06,5.780002538813278e-06
216,6.350001058308408e-06,5.170000804355368e-06
217,5.540001438930631e-06,5.360001523513347e-06
218,5.670000973623246e-06,5.559999408433214e-06
219,5.8299992815591395e-06,5.940000846749172e-06
220,6.250000296859071e-06,5.549998604692519e-06
221,5.909998435527086e-06,5.900001269765198e-06
222,6.2300023273564875e-06,5.769998097093776e-06
223,6.509999366244301e-06,6.1399987316690385e-06
224,6.3499974203296006e-06,4.689998604590073e-06
225,4.659999831346795e-06,5.000001692678779e-06
226,5.580001015914604e-06,4.949997673975304e-06
227,5.5299969972111285e-06,5.569996574195102e-06
228,5.840000085299835e-06,5.089998012408614e-06
229,5.009998858440667e-06,5.300000339047983e-06
230,5.49999822396785e-06,5.169997166376561e-06
231,5.6200005928985775e-06,5.87000249652192e-06
232,6.369999027810991e-06,5.199999577598646e-06
233,5.199999577598646e-06,5.40000110049732e-06
234,5.540001438930631e-06,5.370002327254042e-06
235,5.830002919537947e-06,5.940000846749172e-06
236,5.879999662283808e-06,5.5300006351899356e-06
237,5.699999746866524e-06,5.919999239267781e-06
238,6.2399994931183755e-06,5.840000085299835e-06
239,6.319998647086322e-06,6.369999027810991e-06
240,6.469999789260328e-06,4.900000931229442e-06
241,5.579997377935797e-06,5.6200005928985775e-06
242,5.780002538813278e-06,5.3199983085505664e-06
243,5.879999662283808e-06,5.8299992815591395e-06
244,6.250000296859071e-06,5.549998604692519e-06
245,5.750000127591193e-06,6.009999196976423e-06
246,6.170001142891124e-06,5.770001735072583e-06
247,5.99000122747384e-06,6.179998308653012e-06
248,6.809998012613505e-06,5.399997462518513e-06
249,5.650003004120663e-06,5.989997589495033e-06
250,6.4400010160170496e-06,5.94999801251106e-06
251,6.109003152232617e-06,6.408998160623014e-06
252,6.6399989009369165e-06,5.99100167164579e-06
253,6.400001439033076e-06,6.359998224070296e-06
254,6.370999471982941e-06,6.309001037152484e-06
255,6.791000487282872e-06,6.800000846851617e-06
256,7.160000677686185e-06,4.19999923906289e-06
257,4.8100009735208005e-06,4.730001819552854e-06
258,5.100002454128116e-06,4.990000888938084e-06
259,4.960002115694806e-06,5.350000719772652e-06
260,5.550002242671326e-06,4.879999323748052e-06
261,5.160000000614673e-06,5.339999916031957e-06
262,5.560003046412021e-06,5.3199983085505664e-06
263,5.399997462518513e-06,5.859998054802418e-06
264,6.0399979702197015e-06,4.849000106332824e-06
265,5.230001988820732e-06,5.300000339047983e-06
266,5.6200005928985775e-06,5.4199990699999034e-06
267,5.559999408433214e-06,5.6200005928985775e-06
268,5.879999662283808e-06,5.309997504809871e-06
269,5.5300006351899356e-06,5.739999323850498e-06
270,6.169997504912317e-06,5.640002200379968e-06
271,5.85000088904053e-06,6.220001523615792e-06
272,6.260001100599766e-06,4.859997716266662e-06
273,5.1200004236306995e-06,5.349997081793845e-06
274,5.819998477818444e-06,5.189998773857951e-06
275,5.339999916031957e-06,5.170000804355368e-06
276,6.120000762166455e-06,4.9199989007320255e-06
277,5.910002073505893e-06,5.5200034694280475e-06
278,6.10999995842576e-06,5.840000085299835e-06
279,6.049998773960397e-06,5.559999408433214e-06
280,6.809998012613505e-06,5.189998773857951e-06
281,5.940000846749172e-06,5.919999239267781e-06
282,6.289999873843044e-06,6.000002031214535e-06
283,6.099999154685065e-06,6.1300015659071505e-06
284,6.390000635292381e-06,5.7200013543479145e-06
285,5.859998054802418e-06,5.94999801251106e-06
286,6.520000169984996e-06,6.100002792663872e-06
287,6.3400002545677125e-06,6.219997885636985e-06
288,7.020000339252874e-06,5.040001269662753e-06
289,5.1489987527020276e-06,5.360001523513347e-06
290,5.879999662283808e-06,5.090998456580564e-06
291,5.440000677481294e-06,5.8110017562285066e-06
292,5.870999302715063e-06,5.3290023060981184e-06
293,5.9710000641644e-06,5.889000021852553e-06
294,5.999998393235728e-06,5.959998816251755e-06
295,6.199999916134402e-06,6.350001058308408e-06
296,6.790000043110922e-06,5.279998731566593e-06
297,5.699999746866524e-06,5.99000122747384e-06
298,6.10999995842576e-06,5.94999801251106e-06
299,6.419999408535659e-06,6.009999196976423e-06
300,6.589998520212248e-06,5.849997251061723e-06
301,6.009999196976423e-06,6.250000296859071e-06
302,6.750000466126949e-06,6.289999873843044e-06
303,6.489997758762911e-06,6.7399996623862535e-06
304,7.219998224172741e-06,5.560003046412021e-06
305,5.640002200379968e-06,6.009999196976423e-06
306,6.0300008044578135e-06,5.800000508315861e-06
307,5.96999961999245e-06,6.4300002122763544e-06
308,6.629998097196221e-06,5.8299992815591395e-06
309,5.860001692781225e-06,6.040001608198509e-06
310,6.250000296859071e-06,5.859998054802418e-06
311,6.800000846851617e-06,6.300000677583739e-06
312,7.0499991124961525e-06,5.869998858543113e-06
313,6.379999831551686e-06,6.180001946631819e-06
314,6.810001650592312e-06,6.189999112393707e-06
315,6.4300002122763544e-06,6.589998520212248e-06
316,7.319998985622078e-06,6.280002708081156e-06
317,6.8199988163542e-06,6.719998054904863e-06
318,7.120001100702211e-06,6.6399989009369165e-06
319,6.839996785856783e-06,7.239999831654131e-06
320,7.74000000092201e-06,4.929999704472721e-06
321,5.5300006351899356e-06,5.570000212173909e-06
322,6.020000000717118e-06,5.199999577598646e-06
323,5.750000127591193e-06,5.999998393235728e-06
324,6.289999873843044e-06,5.290003173286095e-06
325,5.869998858543113e-06,5.789999704575166e-06
326,6.509999366244301e-06,6.10999995842576e-06
327,6.5300009737256914e-06,6.670001312159002e-06
328,6.8400004238355905e-06,5.559999408433214e-06
329,5.580001015914604e-06,5.959998816251755e-06
330,6.480000593001023e-06,5.840000085299835e-06
331,6.188998668221757e-06,5.999998393235728e-06
332,8.151000656653196e-06,6.07099718763493e-06
333,7.980001100804657e-06,9.249000868294388e-06
334,6.080001185182482e-06,5.669997335644439e-06
335,8.240000170189887e-06,8.380000508623198e-06
336,6.509999366244301e-06,4.90999809699133e-06
337,7.660000846954063e-06,7.970000297063962e-06
338,5.890000466024503e-06,7.770002412144095e-06
339,5.940000846749172e-06,5.890000466024503e-06
340,8.999999408842996e-06,8.070001058513299e-06
341,6.250000296859071e-06,6.199999916134402e-06
342,6.510003004223108e-06,6.220001523615792e-06
343,6.270001904340461e-06,6.379999831551686e-06
344,6.589998520212248e-06,5.40000110049732e-06
345,5.879999662283808e-06,5.809997674077749e-06
346,6.269998266361654e-06,5.770001735072583e-06
347,6.359998224070296e-06,6.220001523615792e-06
348,6.70000008540228e-06,5.769998097093776e-06
349,6.2399994931183755e-06,6.269998266361654e-06
350,6.7399996623862535e-06,6.3299994508270174e-06
351,6.979997124290094e-06,7.0400019467342645e-06
352,7.52999767428264e-06,5.410001904238015e-06
353,5.800000508315861e-06,5.810001312056556e-06
354,6.1300015659071505e-06,5.819998477818444e-06
355,5.910002073505893e-06,5.940000846749172e-06
356,6.4400010160170496e-06,5.5300006351899356e-06
357,5.9200028772465885e-06,6.059999577701092e-06
358,6.549998943228275e-06,6.000002031214535e-06
359,6.390000635292381e-06,6.409998604794964e-06
360,6.929996743565425e-06,5.6200005928985775e-06
361,6.289999873843044e-06,6.409998604794964e-06
362,6.509999366244301e-06,6.119997124187648e-06
363,6.379999831551686e-06,6.420003046514466e-06
364,7.009999535512179e-06,6.070000381441787e-06
365,6.4400010160170496e-06,6.999998731771484e-06
366,6.660000508418307e-06,6.471000233432278e-06
367,6.791000487282872e-06,6.860002031316981e-06
368,7.170998287620023e-06,5.639998562401161e-06
369,6.160000339150429e-06,6.400001439033076e-06
370,6.800000846851617e-06,6.471000233432278e-06
371,6.7689979914575815e-06,6.6400025389157236e-06
372,7.25099744158797e-06,6.1110004025977105e-06
373,6.79999720887281e-06,6.520000169984996e-06
374,6.928999937372282e-06,6.7399996623862535e-06
